Circuit;Length KM;Length MI
Adelaide Street;3.780 km;2.349 mi
Ain-Diab;7.618 km;4.734 mi
Aintree Motor Racing;4.828 km;3.000 mi
Albert Park;5.278 km;3.280 mi
Algarve International;4.653 km;2.891 mi
Autódromo do Estoril;4.360 km;2.709 mi
Autódromo Hermanos Rodríguez *;4.304 km;2.674 mi
Autódromo Internacional do Rio de Janeiro;5.031 km;3.126 mi
Autodromo Internazionale del Mugello;5.245 km;3.259 mi
Autodromo Internazionale Enzo e Dino Ferrari *;4.909 km;3.050 mi
Autodromo José Carlos Pace *;4.309 km;2.677 mi
Autodromo Nazionale di Monza *;5.793 km;3.600 mi
Autódromo Oscar y Juan Gálvez;4.259 km;2.646 mi
AVUS;8.300 km;5.157 mi
Bahrain International;5.412 km;3.363 mi
Baku City;6.003 km;3.730 mi
Brands Hatch;4.206 km;2.613 mi
Buddh International;5.141 km;3.194 mi
Bugatti Au Mans;4.430 km;2.753 mi
Caesars Palace Grand Prix;3.650 km;2.268 mi
Charade;8.055 km;5.005 mi
Circuit Bremgarten;7.208 km;4.479 mi
Circuit de Barcelona-Catalunya *;4.657 km;2.894 mi
Circuit de Monaco *;3.337 km;2.074 mi
Circuit de Nevers Magny-Cours;4.411 km;2.741 mi
Circuit de Pedralbes;6.316 km;3.925 mi
Circuit de Reims-Gueux;8.302 km;5.159 mi
Circuit de Spa-Francorchamps *;7.004 km;4.352 mi
Circuit Dijon-Prenois;3.886 km;2.415 mi
Circuit Gilles-Villeneuve *;4.361 km;2.710 mi
Circuit Mont-Tremblant;4.265 km;2.650 mi
Circuit of the Americas *;5.513 km;3.426 mi
Circuit Paul Ricard;5.842 km;3.630 mi
Circuit Zandvoort *;4.259 km;2.646 mi
Circuit Zolder;4.262 km;2.648 mi
Circuito da Boavista;7.775 km;4.831 mi
Circuito de Monsanto;5.440 km;3.380 mi
Circuito Permanente de Jerez;4.428 km;2.751 mi
Circuito Permanente del Jarama;3.314 km;2.059 mi
Dallas Fair Park;3.901 km;2.424 mi
Detroit Street;4.023 km;2.500 mi
Donington Park;4.020 km;2.498 mi
Fuji Speedway;4.563 km;2.835 mi
Hockenheimring;4.574 km;2.842 mi
Hungaroring *;4.381 km;2.722 mi
Indianapolis Motor Speedway;4.192 km;2.605 mi
Intercity Istanbul Park;5.338 km;3.317 mi
Jeddah Corniche;6.174 km;3.836 mi
Korea International;5.615 km;3.489 mi
Kyalami Grand Prix;4.261 km;2.648 mi
Las Vegas Strip;6.201 km;3.853 mi
Long Beach Street;3.275 km;2.035 mi
Lusail International;5.419 km;3.367 mi
Madring †;5.474 km;3.401 mi
Marina Bay Street;4.940 km;3.070 mi
Miami International Autodrome *;5.412 km;3.363 mi
Montjuïc;3.791 km;2.356 mi
Mosport International Raceway;3.957 km;2.459 mi
Nivelles-Baulers;3.724 km;2.314 mi
Nürburgring;5.148 km;3.199 mi
Pescara;25.800 k;m 16.031 mi
Phoenix Street;3.720 km;2.312 mi
Prince George;3.920 km;2.436 mi
Red Bull Ring *;4.318 km;2.683 mi
Riverside International Raceway;5.271 km;3.275 mi
Rouen-Les-Essarts;6.542 km;4.065 mi
Scandinavian Raceway;4.031 km;2.505 mi
Sebring Raceway;8.356 km;5.192 mi
Sepang International;5.543 km;3.444 mi
Shanghai International;5.451 km;3.387 mi
Silverstone;5.891 km;3.660 mi
Sochi Autodrom;5.848 km;3.634 mi
Suzuka International Racing Course *;5.807 km;3.608 mi
TI Aida;3.703 km;2.301 mi
Valencia Street;5.419 km;3.367 mi
Watkins Glen International;5.430 km;3.374 mi
Yas Marina;5.281 km;3.281 mi
Zeltweg Airfield;3.186 km;1.980 mi
